floating_base_joint_x,floating_base_joint_y,floating_base_joint_z,floating_base_joint_qw,floating_base_joint_qx,floating_base_joint_qy,floating_base_joint_qz,left_hip_pitch_joint_q,left_hip_roll_joint_q,left_hip_yaw_joint_q,left_knee_joint_q,left_ankle_pitch_joint_q,left_ankle_roll_joint_q,right_hip_pitch_joint_q,right_hip_roll_joint_q,right_hip_yaw_joint_q,right_knee_joint_q,right_ankle_pitch_joint_q,right_ankle_roll_joint_q,floating_base_joint_vx,floating_base_joint_vy,floating_base_joint_vz,floating_base_joint_wx,floating_base_joint_wy,floating_base_joint_wz,left_hip_pitch_joint_dq,left_hip_roll_joint_dq,left_hip_yaw_joint_dq,left_knee_joint_dq,left_ankle_pitch_joint_dq,left_ankle_roll_joint_dq,right_hip_pitch_joint_dq,right_hip_roll_joint_dq,right_hip_yaw_joint_dq,right_knee_joint_dq,right_ankle_pitch_joint_dq,right_ankle_roll_joint_dq,floating_base_joint_acc_x,floating_base_joint_acc_y,floating_base_joint_acc_z,floating_base_joint_alpha_x,floating_base_joint_alpha_y,floating_base_joint_alpha_z,left_hip_pitch_joint_ddq,left_hip_roll_joint_ddq,left_hip_yaw_joint_ddq,left_knee_joint_ddq,left_ankle_pitch_joint_ddq,left_ankle_roll_joint_ddq,right_hip_pitch_joint_ddq,right_hip_roll_joint_ddq,right_hip_yaw_joint_ddq,right_knee_joint_ddq,right_ankle_pitch_joint_ddq,right_ankle_roll_joint_ddq,fallover
-0.0033214833198240445,9.775688263324505e-10,0.7905910700466287,0.9999796594649728,1.6191461634606018e-08,0.006378138938096171,-5.4518684789689484e-08,-0.06047083696138336,-0.000684413478900408,-0.002950621847675261,0.12670773936361962,-0.07571214884464249,2.7332462134825167e-05,-0.06047090094944948,0.0006840628929170251,0.0029508265797407052,0.1267077563738401,-0.07571214937348429,-2.7381569042775615e-05,-0.21248958500632065,-1.305914327905609e-07,-0.21021412715927598,-2.946734277837299e-07,0.7657117310746545,-8.812216657085765e-06,-3.5572655504040758,-0.00021802694590059186,0.01708483358895225,6.811050429392507,-4.774432201228372,0.006980927794960974,-3.557269947933868,0.00022396550323409287,-0.017086782134440426,6.811049692978442,-4.774432274893873,-0.006998552758335538,-0.992997482179031,-9.501854176528472e-06,-8.641880540777532,-0.0005830534646886371,-4.736253166149644,-0.00034225797251104446,34.49771394081673,4.5147234492794155,17.772068172952416,-196.88771334176107,-51.76590237466488,1.4051929885985168,34.497665901123696,-4.512804051476209,-17.779861040563425,-196.88802347468075,-51.76564698340475,-1.4089326934343214,0.0
-0.009570899107357762,0.0001328042353663892,0.7869734153203428,0.9998209521841351,0.0019147755802877728,0.017395066178359543,-0.007197838615576534,-0.13019802839874364,-0.001178485638929483,0.009721829645123557,0.21772020272418413,-0.12267180352549509,-0.0004901152212321558,-0.18091528590872505,0.011035169455235,0.05832226253226039,0.3246860733584679,-0.15624040842013487,-0.01063867653319206,-0.3414199947327908,0.010745037677399535,-0.15844098794813247,0.36093028125812787,1.1195385533447815,-0.983595372125505,-3.1370081593252594,-0.10800431386693728,0.9917293263114384,3.2871452821450364,-1.1253951729398894,-0.01046898759323109,-6.470056674201524,0.44548619827006086,2.8921875631735543,9.616543972484939,-1.934201889502002,-0.8231619676326556,0.26473070545937877,0.19369928956944915,1.4766630229494804,17.280275066178557,-15.64639725398345,-8.906965519689152,62.12263824001718,-13.326708670227056,16.99326737473516,-113.53390504722725,79.5700096390909,3.611253851851537,41.76704654940356,-27.414106424842387,-60.46672204346194,-168.83037409588613,539.231028296146,-108.63326210181125,0.0
-0.016384838542025503,-0.0005434327917858126,0.7845119817791975,0.9995151003165587,0.00508156596991453,0.025961902293086585,-0.016423201752271032,-0.1784683670415641,-0.001090850322895758,0.026176854427934104,0.2626253127831597,-0.13221825831718714,-0.003101701209971262,-0.3103878422083935,0.027939192086653127,0.10878322890756982,0.5391232468078743,-0.20591759093164186,-0.012038069021834073,-0.312888647382855,-0.07492050961919985,-0.08563530226222488,0.24255663510378753,0.5133252022652205,-0.7194682970745611,-1.6471778869052711,0.10781136433961039,0.5354245977096892,1.4440084918746567,-0.11360168924713122,-0.20843239739984554,-5.503674525835712,0.935881285808616,1.6527691822230568,9.168183949277568,-1.9919638679933187,0.05352122639393163,4.184184910849447,-4.9171582131587,4.703145547727983,-13.90577152962684,-44.03756568708668,28.13039378410251,90.39838909747291,13.776224765432556,-39.31641791438999,-81.55782794244611,32.16602249252582,-8.607733185592988,150.58183743253352,1.57309232581242,-102.74299478740137,-279.56402933372004,59.059401191729684,-0.2881254629567823,0.0
-0.022820274712157383,-0.0030343602410589595,0.7827429889826152,0.9993154606247004,0.005869471142878286,0.029254990827924248,-0.021870184649497013,-0.21195256733955084,0.006055553496743024,0.03416065741008256,0.29988821026797075,-0.13970825021696348,-0.011905123452186124,-0.4094123391598023,0.05420757063962464,0.13873756954451455,0.7124662166617016,-0.2745923355916377,7.32044243404572e-05,-0.3115100013477935,-0.16412541110100237,-0.0759710758782319,-0.0535196430455832,0.0932036157956779,-0.3679262525324792,-1.4069476725873213,0.5320066290004353,0.19956494734034053,1.8415515775450664,-0.4168894370438985,-0.5285944444585294,-4.0012297647851485,1.3945736847275145,1.009215112031782,6.959385053150095,-3.197747406813193,0.6046127985029622,1.9230779777303673,-4.287138596380645,2.259263638407342,-16.29013001862764,-30.065429640423453,19.919408448637345,45.308880052491574,17.862888723402904,-25.123172085003986,-23.240985637216355,5.17838011188521,-4.623390384340404,126.13307837664206,-2.2303897563852684,-63.567815525929674,-240.43903235844516,61.14984590827521,-11.701478622144494,0.0
-0.02911652361782742,-0.006853892501480294,0.7812141712551302,0.9992696362465888,0.004370408874919135,0.02844687047293476,-0.025137007820567638,-0.23851479628612896,0.02096191862111748,0.042677276686252756,0.34153478186919595,-0.15047827156172422,-0.024936255394927744,-0.47383503242732494,0.07414325051357923,0.13595300578834865,0.8210827296987662,-0.3144247620777746,0.006050356710727928,-0.30931104625721395,-0.21276366072741387,-0.06928956223625868,-0.20376575346268752,-0.2737726402736656,-0.31811107900094615,-1.0664826227226967,0.8815649747252666,0.4998915148598321,1.998995278589385,-0.5252793953539346,-0.648803697282005,-2.410702007884589,0.784434233295228,-0.6913270434959957,3.9370983575222516,-1.4592250115707326,0.21631378945923144,0.9877915506249078,-2.3834745084626654,1.2220402483257051,-6.616753491909741,-22.921604856732205,-0.22425379481913343,40.16253757321154,12.634057289399841,2.2088324476021555,-25.540256548249598,7.843983406318842,5.4839719111393395,96.76133980937735,-14.983289261949285,-34.84672744071459,-169.22955328636874,36.750827483108345,-3.9669174844180537,0.0
-0.035636122991555656,-0.011385014856422071,0.7796532951840608,0.9992871554206011,0.002184052624280493,0.025121638791693865,-0.028094735983034982,-0.2585108841928263,0.04228751846919324,0.06685662821293463,0.38012083441523925,-0.1610495623038778,-0.036946076879604446,-0.5123750784854709,0.08355532721746156,0.11306224716063884,0.8800244729356916,-0.3153748276700052,0.003396784852207397,-0.3351433295890023,-0.23807540832300003,-0.08016594737692778,-0.19085957223481398,-0.41704664241798367,-0.2778524373965985,-0.8710481904800299,1.0429335688045747,1.1075267509884479,1.795979817894057,-0.3784316588925519,-0.27401490980969057,-1.4274394484347424,0.3098502680949871,-1.2412238189237097,2.0736126593327704,0.2750701057214969,-0.15877345998139142,-0.7921213113057171,-1.2235447705323441,0.2767249097807119,2.7700655724189485,-9.959564332459477,1.1256095246630722,17.750387270669368,-14.667286337622121,-57.2062945429573,-17.023229947140166,26.48930606150327,45.983144632929545,59.774418378365134,-11.120022000598045,8.5666595533724,-96.37294220124625,3.753563770784883,3.9647054057442404,0.0
-0.04281258130456718,-0.016385041778890837,0.7776971508360644,0.9993168314276197,0.00017487930529844914,0.020933201038718922,-0.030457198442448655,-0.27488523461986863,0.06293350609341271,0.08851352867229725,0.41268673640248726,-0.16819072034032348,-0.035258199716708176,-0.5337538586067059,0.08735009759459113,0.08963592392534521,0.9030927911071563,-0.30217762698270556,-0.004725406971404076,-0.3771232358313207,-0.2582639563216011,-0.10717465475706449,-0.14959380498029534,-0.44012462274888914,-0.21794927630931699,-0.7717611433438137,0.8973080931483063,0.6091839403080974,1.5152910343425754,-0.28586908869423683,0.21792333252946935,-0.7782651654550166,0.12460236842773365,-0.9714081240771507,0.5301119059970129,0.6376156703601251,-0.38175505548280375,-1.9271664504788113,-0.7909499933546998,-0.7190181933985269,5.796387506413939,-2.520312666523639,1.1138031906018007,8.394370568203929,-16.485709321776152,-50.77920335127991,-15.867636045636372,8.279674767755864,-3.748477732512577,31.06367492072192,-5.16176771336515,31.07418555978936,-57.12425795730623,-14.05466484606153,8.218720313698446,0.0
-0.05089763613245015,-0.021688253280786638,0.7753532649266851,0.999318324215969,-0.001043159450100532,0.016796198896388108,-0.03285858194112255,-0.2896398449960772,0.07876593465482948,0.09464671449688547,0.4395513196482199,-0.17363809968961774,-0.02950025774122372,-0.5450716447034449,0.0868726438977615,0.07286786581328955,0.8991899440538459,-0.2948252081190897,-0.012709002648252112,-0.4271512695699153,-0.269553509618632,-0.1216880048642801,-0.03963584464365609,-0.4002426401268771,-0.2652063076105651,-0.7299319802347366,0.7100089231351319,0.1848477899859567,1.2353315290741467,-0.1909243053632988,0.1346645518611587,-0.44387259424751274,-0.12374405253136075,-0.6268898505609752,-0.5627204952995324,0.22350188651354522,-0.33980893317446853,-2.6247372085196887,-0.3624982242570439,-0.05961813041926694,9.631489127031598,1.7932367608462625,-2.238720339042749,-2.673977803879134,-10.011343115908199,-8.06636611569828,-6.234733689458951,17.566735450238394,-32.556442129887834,9.736721682874375,-11.047777416321281,29.556094585822567,-24.107584895990552,-11.67328590126579,7.7902211944007815,0.0
-0.0599723325987224,-0.027214542039942516,0.7729464198948992,0.9992787597472274,-0.0008837392574931917,0.012918832996064066,-0.035697101800949385,-0.3040114638770469,0.09158903696907701,0.09777459180730708,0.4615771373383744,-0.17416547816508826,-0.028761437844362206,-0.552309898960298,0.08037180460130611,0.06192434001247776,0.8860560956650649,-0.2946537457415888,-0.017854267619518683,-0.47449891253274357,-0.28206572845064287,-0.11860763963444185,0.10000191706571969,-0.38471843924484106,-0.3104890373978727,-0.6787375112518111,0.5878123425670656,0.17121272149608568,0.9585197287297942,0.1260349947978473,-0.07403219696211281,-0.30791296756711123,-0.43523864475199053,-0.3809036087568121,-0.6293430944825199,-0.058362882319854675,-0.20337836458338976,-2.2274673538768828,-0.6782263398892586,0.22896716737483438,7.721285050806489,-0.5804795046713703,-3.5659085346180985,6.8075897200328415,-5.6698614990479514,3.829464463939864,-18.29093857764055,17.6373614255426,-13.485505942233084,5.378461346861365,-8.61193895833605,24.540116832082607,9.93408850580685,-2.7128628230434257,4.910415964375682,0.0
-0.06993074189108285,-0.03307793947039731,0.7706469336909512,0.9991995173631231,0.0005228439673951635,0.008945429582622861,-0.03898756757057368,-0.31600311203183523,0.10264247131863535,0.10196094200506904,0.47648346522349605,-0.1683736855626852,-0.030937389008771094,-0.5581774858917298,0.0686830840840423,0.055771257277421764,0.8821765860078742,-0.3004067542975096,-0.019626270016168724,-0.5161263585794151,-0.3040649570399732,-0.11064508259731977,0.19693214080081156,-0.40524142526309725,-0.3440318814016589,-0.518772270820113,0.5373542859366854,0.23386407674462953,0.5605752771581186,0.42921486086859223,-0.17683855375448493,-0.23423853019091612,-0.6484149024431597,-0.1761149429920447,0.03188566293951838,-0.28538178192885594,-0.05453357197305742,-1.9698213186326003,-1.3576168211375157,0.5346001415536142,3.347741920024452,-2.064216647533851,-1.8081740059339964,9.735563953069942,-0.6525500380550735,2.12351655416581,-20.596209202744657,15.263908791651684,-8.69077996190579,9.731808308799502,-3.1868803631191813,18.64705176916327,16.69446960036747,6.288029938461789,1.572901427655914,0.0
